STATUS,TITLE,DEPARTMENT,FUNCTION,DIVISION,UNION_STATUS,EMPLOYMENT_CATEGORY,AGE,GENERATION,GENDER,ETHNIC_ORIGIN,LAST_PERFORMANCE_RATING,LAST_POTENTIAL_RATING,EMPLOYEE_PAY_FREQUENCY,EXEMPTTF,EMPLOYEE_PAY_BASIS,MANAGER_ID
Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,62,Boomer,Female,W,No Rating,No Rating,Weekly,F,Hourly,S3314
Active,Operator,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,63,Boomer,Female,A,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1105
Active,Mechanic,Support,Support,Product,Union,Regular Employee FT,63,Boomer,Female,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1228
Active,Mechanic,Support,Support,Product,Union,Regular Employee FT,63,Boomer,Female,W,No Rating,No Rating,Weekly,F,Hourly,S3315
Active,Laborer,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,63,Boomer,Male,A,Developing/Meets Some,Not assigned,Weekly,F,Hourly,S4021
Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,63,Boomer,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1115
Active,Laborer,Factory-East,Manufacturing,Product,Union,Regular Employee FT,63,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1011
Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,63,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1299
Active,Systems Analyst,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,63,Boomer,Female,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S4851
Active,Supervisor,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,63,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,T,Salary,S3319
Active,Driver,Support,Support,Product,Union,Regular Employee FT,63,Boomer,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3380
Active,Clerk,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,63,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1603
Active,Account Manager,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,63,Boomer,Male,W,Developing/Meets Some,Not assigned,Monthly,T,Salary,S4911
Active,Specialist,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,63,Boomer,Female,X,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S3003
Terminated,Mover,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,62,Boomer,Male,B,No Rating,No Rating,Weekly,F,Hourly,S3456
