STATUS,TITLE,DEPARTMENT,FUNCTION,DIVISION,UNION_STATUS,EMPLOYMENT_CATEGORY,AGE,GENERATION,GENDER,ETHNIC_ORIGIN,LAST_PERFORMANCE_RATING,LAST_POTENTIAL_RATING,EMPLOYEE_PAY_FREQUENCY,EXEMPTTF,EMPLOYEE_PAY_BASIS,MANAGER_ID
Terminated,Account Manager,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,30,Generation Y,Male,W,Meets & Exceeds,Not assigned,Monthly,T,Salary,S5635
Active,Forklift Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,55,Boomer,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1666
Active,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,40,Generation X,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3569
Active,Merchandiser,Sales-West,Sales,Sales,Union,Regular Employee FT,27,Generation Y,Male,W,Does Not Meet,Not assigned,Bi-Weekly,F,Hourly,S2395
Active,Administrator,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,52,Boomer,Female,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2278
Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,27,Generation Y,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3731
Active,Technician,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,36,Generation X,Male,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S1083
Active,Manager,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,48,Generation X,Male,A,Successfully Meets Expectations,Mastery,Semi-Mont,T,Salary,S4305
Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,24,Generation Y,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3322
Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,39,Generation X,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S2429
Terminated,Clerk,Support,Support,Product,Non-Union,Regular Employee FT,41,Generation X,Male,N,No Rating,No Rating,Bi-Weekly,F,Hourly,S1352
Active,Operator,Factory-Central,Manufacturing,Product,Union,Regular Employee FT,42,Generation X,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S1124
Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,40,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S446
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,45,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Weekly,F,Hourly,S3393
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,25,Generation Y,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S396
Active,Forklift Driver,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,27,Generation Y,Male,B,Developing/Meets Some,Not assigned,Bi-Weekly,F,Hourly,S1777
Active,Facilitator,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,56,Boomer,Male,W,Too New,Not assigned,Bi-Weekly,F,Hourly,S1481
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,45,Generation X,Male,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S1788
Active,Laborer,Operations-East,Operations,Product,Union,Regular Employee PT,20,Generation Y,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1805
Terminated,Sales Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,45,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S5037
Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,28,Generation Y,Male,B,No Rating,No Rating,Weekly,F,Daily,S868
Active,Mechanic,Support,Support,Product,Non-Union,Regular Employee FT,52,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1436
Active,Project Manager,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,51,Boomer,Female,B,Successfully Meets Expectations,Not assigned,Semi-Mont,T,Salary,S4107
Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,27,Generation Y,Male,W,No Rating,No Rating,Bi-Weekly,F,Daily,S605
Terminated,Installer,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,30,Generation X,Male,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S1589
Active,Technician,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,55,Boomer,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1755
Terminated,Supervisor,Operations-West,Operations,Product,Non-Union,Regular Employee FT,46,Generation X,Male,X,Developing/Meets Some,Placement Issue,Monthly,T,Salary,S833
Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,20,Generation Y,Male,W,Too New,Not assigned,Bi-Weekly,F,Hourly,S2713
Active,Labor,Factory-East,Manufacturing,Product,Union,Regular Employee FT,59,Boomer,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3619
Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2153
Active,Supervisor,Operations-East,Operations,Product,Non-Union,Regular Employee FT,54,Boomer,Male,W,Successfully Meets Expectations,Strong Contributor,Monthly,T,Salary,S5191
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,30,Generation Y,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S464
Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,29,Generation Y,Male,W,No Rating,No Rating,Bi-Weekly,F,Daily,S581
Active,Technician,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,28,Generation Y,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3504
Active,Account Manager,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,52,Boomer,Male,W,Successfully Meets Expectations,Strong Contributor,Monthly,T,Salary,S4884
Active,Laborer,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,49,Boomer,Male,O,No Rating,No Rating,Weekly,F,Hourly,S913
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,25,Generation Y,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S572
Terminated,Administrative Assistant,Support,Support,Product,Non-Union,Regular Employee FT,66,Boomer,Female,W,Successfully Meets Expectations,Not assigned,Monthly,F,Salary,S4289
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,54,Boomer,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S198
Active,Planner,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,32,Generation X,Male,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S1615
Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,57,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1916
Active,Account Manager,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,36,Generation X,Male,X,Successfully Meets Expectations,Emerging Talent,Bi-Weekly,F,Hourly,S2238
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,35,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S711
Active,Forklift Driver,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,55,Boomer,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1219
Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,30,Generation X,Male,W,No Rating,No Rating,Weekly,F,Hourly,S841
Active,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,57,Boomer,Male,W,Too New,Not assigned,Bi-Weekly,F,Hourly,S98
Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,34,Generation X,Female,B,No Rating,No Rating,Bi-Weekly,F,Daily,S122
Active,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,45,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Daily,S36
Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,48,Generation X,Male,B,No Rating,No Rating,Weekly,F,Hourly,S3567
Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,42,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2640
Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,41,Generation X,Male,A,Successfully Meets Expectations,Not assigned,Weekly,F,Hourly,S3676
Terminated,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,35,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S359
Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,42,Generation X,Male,W,Developing/Meets Some,Not assigned,Bi-Weekly,F,Hourly,S2535
Active,Systems Analyst,IT,Finance & IT,Corporate,Non-Union,Regular Employee FT,31,Generation X,Male,A,Successfully Meets Expectations,Not assigned,Bi-Weekly,T,Salary,S4808
Active,Labor,Factory-East,Manufacturing,Product,Union,Regular Employee FT,51,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1569
Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee PT,26,Generation Y,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2380
Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,52,Boomer,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1484
Terminated,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,40,Generation X,Male,H,No Rating,No Rating,Weekly,F,Hourly,S3709
Active,Administrator,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,43,Generation X,Female,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1608
Active,Laborer,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,35,Generation X,Male,O,No Rating,No Rating,Weekly,F,Hourly,S900
Active,Labor,Factory-East,Manufacturing,Product,Union,Regular Employee FT,36,Generation X,Female,B,No Rating,No Rating,Weekly,F,Hourly,S3556
Active,Administrator,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,33,Generation X,Female,B,Too New,Not assigned,Bi-Weekly,F,Hourly,S993
Active,Technician,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,48,Generation X,Male,B,Developing/Meets Some,Not assigned,Bi-Weekly,F,Hourly,S1084
Active,Mechanic,Support,Support,Product,Non-Union,Regular Employee FT,29,Generation Y,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2185
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,53,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S52
Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,32,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2506
Terminated,Sales Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,33,Generation X,Male,W,Meets & Exceeds,Not assigned,Monthly,T,Salary,S6276
Active,Merchandiser,Sales-West,Sales,Sales,Union,Regular Employee FT,41,Generation X,Male,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S2747
Active,Account Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,51,Boomer,Female,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,T,Salary,S4662
Active,Operator,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,26,Generation Y,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1440
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,34,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S705
Active,Technician,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,50,Boomer,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3524
Active,Supervisor,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,29,Generation Y,Male,H,Developing/Meets Some,Not assigned,Semi-Mont,T,Salary,S3978
Active,Manager,Operations-West,Operations,Product,Non-Union,Regular Employee FT,42,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S4603
Active,Forklift Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,42,Generation X,Male,B,Developing/Meets Some,Not assigned,Bi-Weekly,F,Hourly,S1245
Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,30,Generation Y,Male,H,No Rating,No Rating,Weekly,F,Hourly,S3602
Active,Sales Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,54,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,T,Salary,S4608
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,35,Generation X,Male,H,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S1607
Active,Sales Manager,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,37,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S4970
